"prolific_id","subj","item_1","item_11","item_12","item_13","item_14","item_15","item_16","item_17","item_18","item_19","item_20","item_2","item_21","item_22","item_23","item_24","item_25","item_26","item_27","item_28","item_29","item_30","item_3","item_31","item_32","item_33","item_34","item_35","item_4","item_5","item_6","item_7","item_8","item_9","item_10"
"5d6a69c67832980018762c8b",46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5dece7c319398a3a97c00c8f",47,"3","2","1","1","2","1","2","2","1","1","2","3","1","2","2","1","1","1","2","2","1","2","1","2","1","0","0","1","1","2","1","1","2","2","2"
"5eb69768bb223e58e34fd14d",48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5d874bd341ecfc001853b5eb",49,"0","2","1","2","1","2","1","1","0","1","0","2","2","0","2","2","1","2","2","3","1","2","1","1","1","2","0","2","0","2","0","0","1","0","2"
"5ecfdd250dc6a6069298a016",50,"1","2","1","0","2","2","1","1","2","2","2","1","2","2","3","2","1","1","1","2","3","2","1","2","1","1","1","1","1","1","2","1","3","2","2"
"5b9dee38e671c600012272ca",51,"1","2","2","1","1","2","2","2","2","1","2","2","1","2","2","2","1","2","1","2","1","2","1","1","2","1","0","2","1","2","1","2","2","1","2"
"5df655ee221dc445a0dcfad9",52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5daae0121a0d81001580d9eb",53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5ce096a776d3670015b2a465",54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5ef7735e9590490620e59c4e",55,"1","2","3","2","1","2","2","1","1","2","1","2","2","2","2","2","1","2","2","2","2","2","2","1","1","1","1","2","2","2","1","1","3","3","3"
"5e024357acd5cedc9da23c77",56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5eb34f37d16113140c112fb0",57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5ef0efa80be9c609391ce1c8",58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5ed47a025956963270f7e8a3",59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5d2f421ce130cb001c6f68ce",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5ec6284ae7928569c45b1066",61,"1","1","2","1","1","2","1","2","2","1","2","2","3","2","3","2","2","3","2","3","3","2","1","2","0","2","1","1","1","1","2","2","3","3","2"
"5bef1ca4a79efb0001fafb88",62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5e830b929f2ed2018ec42099",63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5eb3cf727af9ce1b755e4e80",64,"2","1","0","0","2","2","0","1","2","0","1","2","0","3","3","0","2","1","2","2","1","1","0","2","1","0","3","1","0","0","1","2","3","0","2"
"5eec061660ae2d3fdbd62f1e",65,"2","2","2","0","2","3","1","3","2","1","1","1","0","0","3","1","0","0","0","1","0","3","1","1","3","0","0","0","1","2","3","3","3","1","3"
"5eb8ffbad25d258696a07c34",66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5e75b3393ff25d122c91dfd6",67,"2","2","1","1","1","2","1","2","2","1","1","2","2","2","3","1","2","2","1","2","1","2","1","2","2","1","1","2","1","1","2","2","3","2","3"
"5eda3ac69eb5a904e9b073d1",68,"1","1","1","1","1","2","1","1","1","2","1","1","1","2","1","1","2","2","2","1","1","1","2","1","2","2","2","2","1","1","1","2","1","2","1"
"5ef4cd9b3b10fd0b1ff6fbb6",69,"3","2","2","1","2","1","2","2","2","2","2","1","1","2","2","1","2","2","2","2","1","1","2","1","2","1","1","2","0","2","1","2","2","2","2"
"5f10bf1ebcda1e108941bdd6",70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5c74224e46216d0016a978b0",71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5d36f91a1efcc9001a259dcb",72,"1","2","1","2","1","1","3","2","0","0","1","2","2","0","3","3","0","2","0","3","1","3","1","0","0","0","0","0","0","1","0","0","3","3","3"
"5ee95070fff7862f9effecc6",73,"0","1","0","1","2","1","3","3","0","2","2","2","1","2","0","0","2","1","1","3","3","3","1","3","3","1","1","1","1","2","2","1","1","1","3"
"5f05892c43f620011db81d59",74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5e859d5ed43d1918a4ea3889",75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5b4c402ff7310800013b7025",76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5cd460efab0a4f0016f01b2b",77,"0","0","1","1","2","1","1","3","2","1","3","1","1","1","3","3","0","3","0","1","0","3","1","2","1","0","1","0","0","3","0","1","3","1","2"
"5c5d09991bca630001ea7cb5",78,"1","1","2","2","1","0","1","0","1","1","2","2","2","3","0","2","1","2","0","0","2","0","1","2","0","1","1","0","1","2","0","1","3","2","3"
"5d6d15bb5f122d00191ea52d",79,"1","3","1","2","3","1","2","1","2","1","3","0","3","2","1","1","2","1","0","1","2","1","1","2","1","1","3","2","2","2","3","2","3","3","3"
"5ec57530f348315719a6777f",80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5df132314a2ad404539a3da2",81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5ec513921c38ea43f5d72a2f",82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
